ingreso,carros
10772.67578,2
12704.96857,2
10771.64249,2
10595.06441,0
10037.33606,1
9746.59778,1
11922.4342,1
10259.50613,0
14051.38084,2
9328.142481,0
9405.180984,1
8244.568870000001,1
11886.37338,0
9321.339504,0
10695.21658,0
8638.756618000001,0
12342.25429,1
11495.61172,0
10203.99754,0
11491.61484,0
8527.185161,0
9174.287905,0
9735.907003,2
8774.606264,0
8568.295254999999,2
14602.2222,1
8022.6723790000015,2
9959.026626,2
8483.785578,0
8028.721995,1
4855.651377,2
12032.26354,3
8379.814439,2
9212.226723,3
12603.21258,1
5868.697389,3
14996.450819999998,1
7118.303537000002,3
11374.32082,1
10245.67614,3
13036.27448,0
12229.88844,1
10157.78868,0
13855.92263,3
11937.11211,3
12283.39748,3
9986.572702,3
9892.63161,3
8882.621462000001,0
10031.06949,3
6350.936839,1
9370.892018,1
10158.61899,1
12570.34809,0
7609.056055,0
9793.3093,0
12842.77561,2
11771.36604,1
14653.40645,3
7341.07028,1
11992.44571,0
12124.11607,2
9373.280119,1
8488.5548,0
14604.32476,2
12121.93682,1
10967.05014,2
10845.40472,3
8853.644336,2
11539.71071,0
10297.2197,0
10654.52209,1
11781.65123,0
10151.2778,0
10065.03557,0
9297.182554,1
10165.31141,3
8738.132459999999,1
6352.342068999998,3
11946.43161,3
9810.772884999997,0
11284.58135,1
13561.76395,3
11422.59739,1
11089.56151,1
13001.20021,2
10669.72117,0
6966.844817,1
9672.605489,0
6601.780735,0
11749.94343,0
7403.535293000001,0
10986.43773,1
8717.108106,2
10104.62168,0
11312.08399,1
8333.689042,3
12097.07103,2
8745.989905,2
7460.376694,1
7401.783661,1
10423.23754,0
10121.42933,1
12036.81572,2
4908.559254,0
7511.676453,3
9610.091835,1
14030.99316,1
10056.37582,1
12472.78775,0
10393.34831,0
13508.32015,3
11006.43859,2
13274.93989,2
12192.89532,1
9377.732785,0
8044.445818000001,2
4921.692181,0
13785.89105,1
13251.09586,2
7220.986973,2
11529.7045,0
8685.258553,1
10728.60366,0
8295.7043,0
10603.70505,0
9698.119214,1
10205.41825,2
8847.002696,0
9180.918237,2
10414.56364,1
8990.744022,0
11896.67345,0
11649.07602,1
12581.24245,0
9329.543635,0
9226.154167,1
11595.7787,0
8346.189475,2
10372.26581,0
8500.851448000001,0
4071.820992,0
8163.099967,0
11825.36304,2
11189.52041,0
15033.77414,1
18505.31534,0
13347.65106,2
11701.50575,0
11440.37535,0
8795.867855,2
4240.191266,0
12985.89866,0
5774.206139,2
10413.10505,1
9531.441428,2
11754.61721,0
10568.00845,2
9913.975094,0
11514.85082,0
9806.055726,0
12881.82662,0
7773.0642560000015,1
11745.8993,3
10210.90566,2
6283.845729,1
13245.21046,2
8670.592906999998,1
7179.632559999999,1
6966.913565000002,3
11685.73918,2
9615.655435,0
11418.55037,2
7951.2745129999985,0
9976.174011,2
8136.092384999999,1
12427.96681,2
8769.433921,2
12067.09425,2
9242.400994,0
7662.3363629999985,1
8056.643665,3
8849.762627,2
8201.467595,1
10830.54378,1
6574.125883,2
9063.020665,2
7754.9820420000015,3
13232.18369,2
10243.79453,2
12932.70965,0
10808.53748,1
12318.98798,0
11505.14161,2
9631.032733,1
9578.943984,0
11259.10051,0
9279.154533,0
11254.61184,0
13045.70722,1
10791.65339,0
7210.466041,2
8953.380309,0
10848.14125,1
10786.0896,1
2754.475469,1
10425.57375,3
13307.25487,0
7652.948117,1
7172.179661,2
5811.08025,2
11572.79697,0
10208.92544,1
12069.63162,1
9259.382377,1
10262.61576,2
12725.63933,1
14065.8702,0
9199.992813,2
7044.0220260000015,1
11824.08049,1
9940.944022,2
10419.0458,2
13550.78652,0
10786.003,0
9037.260433,0
8880.969809999999,0
11830.97758,0
12486.20511,2
10925.9145,1
6278.773241,0
8544.101336,2
6604.372693,2
8175.929395999998,1
8069.6319079999985,0
11763.69535,2
10370.59724,2
10997.47176,3
11174.11205,0
6375.994927000002,2
7060.147136,1
12565.21784,0
7605.529487000002,1
7634.1483290000015,1
12939.14149,1
15899.17276,2
10572.14782,1
4410.221578,1
6853.9571959999985,0
12416.79431,0
11598.83279,1
11292.70717,0
12355.35435,2
14475.31908,1
7590.387609,2
9272.312046,2
9030.454215,2
12614.74117,1
9330.301085,1
12867.51743,1
7656.615035,1
8409.085251,2
9200.136946,2
11906.79679,2
9244.192306,3
11042.59436,1
9953.766014,0
11242.83832,0
11709.94136,0
11307.2128,0
5662.958321,2
10215.32876,2
9453.205444,0
10448.00678,0
8401.547115000001,0
7958.459524,0
8232.083237,2
9819.385236,3
7581.734995999999,3
9088.960175,2
9507.252294,0
7739.556874,0
10557.60712,1
15494.0865,1
11057.65547,1
11682.8412,2
14978.55957,1
10503.9913,1
12445.01998,2
10470.37878,2
12836.20757,1
6248.325243,1
7512.603648,0
13498.80335,1
8413.825216,0
6496.918204,2
9682.743733,1
9951.611308,0
7380.853506,2
6896.920937000001,2
17841.32692,2
7556.665509,3
10378.8973,1
8306.796037,0
9808.56826,1
11089.08022,0
12460.51882,0
8352.144352,0
11195.86385,1
9094.3949,1
8186.814587999998,0
10218.32741,1
9520.785634,1
10520.60896,1
9739.209135,0
12369.339,0
11399.71907,1
11084.57472,2
7060.369339,0
13660.13773,0
12349.2872,2
11063.15479,1
8034.32477,1
9983.86841,0
6537.840616,1
11430.36436,1
9856.814941,0
9386.762596,3
9453.601479,3
11828.22873,1
9364.603118,1
9980.994556,0
9167.584146,0
11882.75639,1
8956.571556,1
8947.013176,1
13266.13458,1
12706.49742,1
9453.093336,1
9435.124613,2
1783.853217,1
7542.844151,0
7697.996184999999,0
12317.03944,3
6729.348629000001,2
5924.201357,1
6589.277496,3
10366.023,2
10426.86317,3
16188.40401,1
9576.422635,1
14655.20245,0
8816.337731,3
7547.8333269999985,1
7389.295598999999,0
8684.773307,1
9635.515702,0
11403.95052,0
9267.424934,3
9533.473213,0
5033.557834,0
9303.763264,2
8042.607445999999,2
11433.178999999998,0
12473.73275,1
5055.463726,0
11976.90901,0
11452.56156,2
9475.583346,1
9066.349714,1
8761.875679,0
8175.717198,3
5088.473897999998,1
12386.13732,0
11288.64158,2
12635.5005,1
8847.178366,1
7211.436562000001,1
12451.37765,1
12673.84333,0
9190.068723,2
11038.81031,1
10262.55794,0
8575.142792,1
9987.30281,2
7603.176351000001,0
9020.097759,1
10626.3042,1
14229.56656,1
7531.94774,3
8684.54745,1
15324.65804,1
7849.904044,3
12946.25096,1
8116.288123,2
11141.18707,1
10328.10194,3
10354.10106,2
9486.488187,2
7038.509192,3
12989.17424,3
7676.760395,2
13798.867740000003,1
9737.397375,1
12913.73761,3
8963.358226999999,0
6790.396534,0
7821.948795,0
9612.993095,2
8669.345251,2
10726.32336,3
6835.643776000001,1
11075.35773,0
12171.64803,2
8159.191231,1
11611.15029,1
15585.38438,2
12516.98564,1
12149.36668,1
9136.8108,0
12741.49903,1
14925.221630000002,1
6188.523777,1
12195.32381,1
8350.496507,2
9920.265546,1
11809.19289,2
10104.38002,2
8312.864690999999,3
11549.6527,1
10800.62947,3
11755.33451,1
7803.835423,2
7833.760418000002,1
8383.60656,0
11734.78238,2
12002.42736,2
7674.468608,1
9122.382322,0
11589.18643,2
12280.4511,2
6165.222053,0
7852.414194,0
12968.08483,3
15943.40773,0
9737.270687,2
9811.20886,1
14603.31196,0
8547.741909,0
10066.70466,2
9935.343327,0
9164.247706,2
8233.736508,1
11787.76819,1
13755.70573,1
11240.35923,2
5945.677947,2
10470.32348,1
9480.583496,1
10057.272190000003,0
16972.70594,1
11929.16301,1
12478.97359,1
11509.43371,2
9029.260836,0
15928.83781,1
10382.99308,0
9149.670509,0
13885.88896,1
12976.68655,3
4642.201213,3
11011.16925,0
7478.313668000002,1
5920.353004,0
9334.065938,3
9258.058462,0
5390.058036,1
9584.062089,1
12372.13697,3
6618.765177,1
12486.19643,3
6097.67799,0
7513.719540999998,3
7585.916985,3
10161.22397,1
8265.711122,2
11342.73308,2
9469.898032,2
13588.94897,0
7599.14577,1
9802.999321,1
10233.03405,1
13063.64386,0
11246.73902,2
9070.728706999998,2
7806.572869,3
7228.00742,2
8330.336205,1
7514.17883,0
14505.52222,0
5916.707389,3
5997.676659000002,0
11604.30561,1
9001.112489,2
10608.92219,0
11637.66244,3
11748.7009,0
13378.78272,2
8492.764653,0
11609.51132,3
10607.51153,0
6732.1882620000015,2
9583.311951,3
9743.275116,1
10132.36716,0
9871.906308,0
13357.04467,3
11591.91209,2
12609.83287,1
10950.57753,0
5539.9928439999985,0
12101.51271,0
10885.1061,2
6301.8530409999985,1
10028.10695,3
8578.753577,0
12212.03668,1
14744.03549,2
8637.770969,1
11528.4456,2
15891.618380000002,1
15011.56166,1
11001.46007,1
5997.740365,1
9405.709664,2
15778.01695,1
11396.6025,1
7281.382415999998,2
6073.195488,2
9648.046075,1
9818.262507,0
12529.81127,3
13924.72348,0
13056.17286,0
11404.65717,1
8249.552143,2
12122.4921,3
12936.35258,0
9899.402771,0
14429.56808,3
8197.276861,0
14779.75355,0
7678.720104000001,1
8120.501483,1
12435.89663,0
8327.018457,2
11387.9364,1
16888.83215,2
6268.045013,2
9589.320549,1
10535.86383,1
10012.45917,3
11196.88103,1
5912.640273,0
7537.6070519999985,2
14171.07076,3
11869.78153,2
11534.37375,2
5497.642396,1
15027.96663,0
9945.738214,3
9075.99078,3
10299.89799,0
4833.012649,0
14367.68431,2
11878.11236,1
13535.65204,1
4913.3548740000015,1
7104.943812,3
6060.372388000002,0
10876.66824,0
13843.95365,1
7961.416112999998,0
10655.62796,2
10783.6211,0
11639.81173,0
8283.679782,3
11538.63534,1
13710.80009,3
10276.1861,3
6591.8689159999985,1
11296.71719,1
11009.46045,2
7955.733848999998,1
11959.87641,1
7759.940015000001,0
8941.880906,1
8034.816938,2
7308.936823,2
6483.332287,2
9422.280919,1
10274.03837,0
10057.71046,0
10295.04061,3
12439.68077,1
13022.60602,0
8245.162698999999,1
10078.96183,0
14629.43407,3
6136.488338,1
12005.23488,0
8901.301709000001,0
9975.787088,3
9925.837697,0
4830.729499,0
10921.75607,0
14501.152,2
6941.597804000001,1
8264.499747,0
12503.34349,0
7673.877967,1
10824.70153,2
12649.13771,3
9258.472227,0
15175.67029,2
11742.21532,2
11001.34919,3
9135.407657,2
16842.43893,3
12614.29652,2
9431.906158,1
10319.16521,0
10573.25041,2
5208.27721,0
11052.93003,1
12001.07458,2
9993.32249,0
9267.131216,1
10839.9007,1
9100.506925,3
6757.040333,2
5661.393758,2
12578.00263,0
13843.91516,0
10369.85059,1
5096.462789,0
8001.822469,0
11389.43391,3
9930.841912,2
5516.039991,2
10813.92544,1
9719.237511,0
10058.13443,1
11126.22483,1
11487.87008,0
11782.72958,2
12861.92872,0
4347.966447999999,0
6896.765629,0
10007.54975,0
10538.49773,1
11129.79763,1
10112.32357,1
13536.16772,0
10156.80359,2
6911.374599,1
13843.51311,2
9208.076297,3
5868.486419,0
9439.279935,1
8191.676213,1
11020.21483,2
8989.003275,2
12455.77405,3
12823.24551,3
10245.0224,2
9643.870837,0
6194.66936,3
10546.38867,2
9989.273176,2
9030.666057,1
8246.315363,2
4875.737967,2
11786.40242,1
11016.07466,1
13191.6276,1
7729.440804000002,1
3966.175553,2
13029.51375,0
11600.57382,2
12912.08804,3
7812.847164,2
5924.1595670000015,1
11052.52896,2
7282.039116,0
10510.45547,1
13575.99592,0
6081.212757,3
13166.73555,3
12187.08816,3
8326.952663,0
11913.157,0
8459.510848,1
8745.318521,0
11884.32866,1
9998.522402,0
6867.097603,2
9757.53928,1
11044.03151,1
1222.2538,0
